"operator","enbId_rncId","cellId","frequency","trueServingCoverageArea_latitude","trueServingCoverageArea_longitude","normalizedServingCoverageArea_latitude","normalizedServingCoverageArea_longitude","fullActivityCoverage_latitude","fullActivityCoverage_longitude","bts_latitude","bts_longitude","altitude_altitude","Neighbor_Cell_0_latitude","Neighbor_Cell_0_longitude","Neighbor_Cell_1_latitude","Neighbor_Cell_1_longitude","Neighbor_Cell_2_latitude","Neighbor_Cell_2_longitude","ID"
"MegaCom Ltd",73591,32,"1300",52.3193740845,4.97477531433,52.3193740845,4.97477531433,52.3198776245,4.97155761719,"52.3206253052","4.97273445129","51","52.3195075989","4.96271467209","52.3171005249","4.98015117645","52.3156547546","4.95310544968",50
"MegaCom Ltd",54771,31,"1300",52.3137512207,4.94239234924,52.3137512207,4.94239234924,52.3140716553,4.94224596024,"52.3143768311","4.94239234924","61","NULL","NULL","NULL","NULL","NULL","NULL",51
"MegaCom Ltd",83741,32,"1300",52.3693733215,4.82694816589,52.3693733215,4.82694816589,52.3695259094,4.82592773438,"NULL","NULL","44","52.3695907593","4.83010721207","52.370716095","4.82665538788","52.3697814941","4.83008289337",52
"MegaCom Ltd",54651,32,"1300",52.3137512207,4.94214820862,52.3137512207,4.94214820862,52.3139343262,4.9419875145,"NULL","NULL","117","52.3140830994","4.94199705124","52.3138999939","4.94225120544","52.3138389587","4.94214820862",53
"MegaCom Ltd",861,11,"6400",52.3800010681,4.80785179138,52.3800010681,4.80785179138,52.3803749084,4.80437517166,"52.3781242371","4.80172348022","51","52.3827934265","4.80508804321","52.3801956177","4.80426740646","52.3806266785","4.80325174332",54
"MegaCom Ltd",841,13,"6400",52.3937492371,4.86523914337,52.3937492371,4.86523914337,52.393951416,4.86574697495,"52.3956260681","4.86932611465","45","52.3969421387","4.86856937408","52.3990249634","4.85916519165","52.3935203552","4.86634254456",55
"MegaCom Ltd",85211,32,"1300",52.3043746948,4.82071781158,52.3043746948,4.82071781158,52.3042678833,4.82105445862,"52.3043746948","4.82071781158","34","NULL","NULL","NULL","NULL","NULL","NULL",56
"MegaCom Ltd",58161,11,"6400",52.3624992371,4.93957042694,52.3624992371,4.93957042694,52.3622169495,4.9387011528,"NULL","NULL","55","52.3619041443","4.93979501724","52.3618202209","4.93679189682","52.3623161316","4.93568849564",57
"MegaCom Ltd",40271,13,"6400",52.4124984741,4.87952613831,52.4124984741,4.87952613831,52.4118118286,4.88052749634,"52.4099998474","4.88157224655","47","52.4143447876","4.87170886993","52.4102249146","4.88211917877","52.411113739","4.88196754456",58
"MegaCom Ltd",54661,31,"1300",52.3143768311,4.94259786606,52.3143768311,4.94259786606,52.3142051697,4.94257831573,"NULL","NULL","80","52.3141975403","4.94190406799","NULL","NULL","NULL","NULL",59
